artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Spiderbait,Black Betty - Edit,205973,False,2004,63,0.562,0.865,7,-6.476,0,0.0922,2.06e-05,0.591,0.219,0.35,124.047,rock
George Michael,Amazing,265826,False,2004,57,0.805,0.754,10,-6.825,0,0.0394,0.0884,1.77e-06,0.117,0.88,128.429,set()
Britney Spears,My Prerogative,213893,False,2004,53,0.749,0.938,10,-4.423,0,0.118,0.0127,1.96e-06,0.103,0.619,111.014,pop
Nina Sky,Move Ya Body,232000,False,2004,67,0.87,0.712,11,-6.313,0,0.0432,0.0202,0.000331,0.0576,0.877,121.057,"pop, R&B"
Juanes,La Camisa Negra,216706,False,2004,70,0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007,"pop, latin"
Avril Lavigne,Nobody's Home,212413,False,2004,61,0.348,0.907,5,-3.66,0,0.0497,0.000516,0.0,0.161,0.177,185.406,pop
Robbie Williams,Radio,233600,False,2004,33,0.607,0.874,5,-5.409,0,0.0349,0.00331,0.0494,0.26,0.846,130.015,"pop, rock"
Christina Milian,Dip It Low,197186,False,2004,45,0.752,0.722,11,-4.207,0,0.104,0.0108,0.000536,0.0753,0.612,169.131,"hip hop, pop, R&B"
Eminem,Just Lose It,248680,True,2004,67,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003,hip hop
Snoop Dogg,Drop It Like It's Hot,266066,True,2004,39,0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063,"hip hop, pop"
The Shapeshifters,Lola's Theme - Radio Edit,207066,False,2004,65,0.748,0.845,5,-4.612,0,0.0536,0.00083,0.000225,0.068,0.659,123.925,Dance/Electronic
D12,How Come,249533,True,2004,57,0.745,0.858,9,-2.221,1,0.237,0.28,0.0,0.188,0.547,89.983,"hip hop, pop, rock"
Kevin Lyttle,Turn Me On,192106,False,2004,67,0.677,0.682,9,-6.879,1,0.0361,0.0405,0.0,0.0351,0.875,106.279,hip hop
T.I.,Bring Em Out,216706,True,2004,63,0.759,0.891,11,-2.983,1,0.257,0.0298,0.0,0.141,0.587,98.579,"hip hop, pop"
DJ Casper,Cha Cha Slide - Hardino Mix,222146,False,2004,51,0.853,0.911,11,-6.722,0,0.125,0.0436,0.00571,0.287,0.802,131.012,set()
Kylie Minogue,I Believe in You,200973,False,2004,47,0.548,0.785,7,-5.087,1,0.0704,0.00277,0.048,0.329,0.418,120.939,"pop, Dance/Electronic"
Twista,Overnight Celebrity,233360,True,2004,66,0.828,0.792,10,-5.435,0,0.179,0.182,0.0,0.281,0.777,134.199,"hip hop, pop, R&B"
N.E.R.D,She Wants To Move,213786,False,2004,57,0.766,0.851,5,-4.831,1,0.0786,0.00402,0.000744,0.256,0.8,115.012,hip hop
U2,Vertigo,193520,False,2004,64,0.416,0.819,9,-3.974,1,0.0613,0.000138,0.00108,0.147,0.632,140.083,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,237026,False,2004,77,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,rock
Lil' Flip,Sunshine (feat. Lea),225173,True,2004,42,0.814,0.387,0,-9.867,1,0.0946,0.0248,0.0,0.131,0.792,93.961,"hip hop, pop"
Kanye West,Jesus Walks,193733,True,2004,73,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312,hip hop
Nelly,My Place,336506,True,2004,57,0.6,0.641,1,-4.237,0,0.0423,0.0498,1.49e-06,0.0982,0.642,163.153,"hip hop, pop, R&B"
Lemar,If There's Any Justice,229080,False,2004,46,0.706,0.665,6,-5.348,0,0.0453,0.0128,0.0,0.338,0.639,89.993,R&B
Avril Lavigne,Don't Tell Me,202013,False,2004,58,0.523,0.795,4,-2.92,1,0.0386,0.00462,0.0,0.358,0.484,144.106,pop
Twista,Slow Jamz,316053,True,2004,72,0.559,0.733,2,-5.659,0,0.171,0.314,0.0,0.284,0.611,145.115,"hip hop, pop, R&B"
Green Day,American Idiot,176346,True,2004,77,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,rock
Scissor Sisters,Comfortably Numb,266040,False,2004,43,0.803,0.924,7,-6.466,1,0.0391,0.237,0.0167,0.104,0.788,116.972,"pop, rock, Dance/Electronic"
Kanye West,Through The Wire,221226,True,2004,76,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,hip hop
Special D.,Come With Me - Radio Edit,185133,False,2004,61,0.739,0.999,7,-5.077,1,0.0803,0.13,0.00224,0.28,0.501,139.982,pop
Avril Lavigne,My Happy Ending,242413,True,2004,68,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,pop
Eamon,Fuck It (I Don't Want You Back),225106,True,2004,64,0.828,0.653,0,-6.245,0,0.0653,0.214,3.25e-06,0.0404,0.575,68.507,set()
Kanye West,All Falls Down,223506,True,2004,80,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03,hip hop
Twista,Sunshine (feat. Anthony Hamilton),226013,True,2004,56,0.926,0.888,11,-5.337,1,0.294,0.261,0.0,0.348,0.819,98.523,"hip hop, pop, R&B"
Usher,My Boo,223440,False,2004,76,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,"hip hop, pop, R&B"
Lloyd,Southside,277840,False,2004,59,0.688,0.404,9,-9.481,0,0.0818,0.377,0.0,0.0813,0.448,75.007,"hip hop, pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,False,2004,59,0.668,0.905,6,-5.395,1,0.038,0.00232,0.0331,0.141,0.667,128.658,Dance/Electronic
The Streets,Fit but You Know It,254266,True,2004,58,0.68,0.844,6,-1.729,1,0.299,0.23,0.0,0.0305,0.895,172.302,"hip hop, Dance/Electronic"
Girls Aloud,Love Machine,205360,False,2004,59,0.663,0.95,7,-4.21,1,0.0621,0.00127,0.00492,0.0753,0.697,116.02,"pop, Dance/Electronic"
Eminem,Like Toy Soldiers,296880,True,2004,48,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop
Ashlee Simpson,Pieces Of Me,217440,False,2004,56,0.505,0.799,2,-4.286,1,0.0773,0.0572,0.0,0.11,0.772,174.001,pop
Mario,Let Me Love You,256733,False,2004,72,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,"pop, R&B"
Green Day,Boulevard of Broken Dreams,261266,True,2004,72,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,rock
Akon,Bananza (Belly Dancer),238493,False,2004,28,0.878,0.699,10,-5.897,0,0.132,0.0345,3.37e-06,0.755,0.666,104.838,pop
Eminem,Ass Like That,265480,True,2004,52,0.646,0.796,2,-6.152,1,0.366,0.409,0.0,0.107,0.676,83.093,hip hop
Gwen Stefani,Rich Girl,236213,False,2004,68,0.856,0.754,7,-2.728,0,0.0416,0.0294,1.49e-05,0.206,0.722,98.018,"pop, R&B"
Ciara,Oh (feat. Ludacris),256346,False,2004,61,0.8,0.496,7,-7.135,1,0.0506,0.000298,0.0,0.0697,0.357,128.29,"pop, R&B"
JAY-Z,Numb / Encore,205733,True,2004,76,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,hip hop
Akon,Lonely,235800,True,2004,21,0.629,0.532,5,-7.88,0,0.0352,0.331,0.0,0.238,0.619,90.098,pop
Eminem,Mockingbird,250760,True,2004,77,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,hip hop
Snoop Dogg,Signs,236813,True,2004,54,0.94,0.713,7,-5.308,1,0.127,0.0319,0.00076,0.325,0.666,112.955,"hip hop, pop"
Trillville,Some Cut,283454,True,2004,50,0.9,0.515,1,-6.626,1,0.372,0.00341,0.0,0.111,0.659,84.995,"hip hop, pop"
Brian McFadden,Almost Here,229826,False,2004,42,0.561,0.452,9,-7.324,0,0.0336,0.409,0.0,0.106,0.316,77.984,set()
Snoop Dogg,Drop It Like It's Hot,266066,True,2004,39,0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063,"hip hop, pop"
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,False,2004,63,0.878,0.417,7,-6.799,1,0.361,0.0444,0.0,0.0833,0.904,77.49,"pop, R&B"
Ludacris,Get Back,270746,True,2004,59,0.555,0.639,1,-5.16,1,0.263,0.0594,0.0,0.118,0.184,171.609,"hip hop, pop"
Gwen Stefani,Hollaback Girl,199853,True,2004,69,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,"pop, R&B"
2Pac,Ghetto Gospel,238053,True,2004,68,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,hip hop
Lil Jon & The East Side Boyz,Lovers And Friends,260600,True,2004,66,0.675,0.501,10,-6.183,1,0.22,0.0541,0.0,0.429,0.532,139.861,"hip hop, pop"
Kelly Clarkson,Behind These Hazel Eyes,198973,False,2004,59,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,"pop, R&B"
Papa Roach,Scars,208199,False,2004,60,0.455,0.929,11,-3.295,1,0.0494,0.0875,0.0,0.226,0.484,89.782,"rock, metal"
Usher,Caught Up,224640,False,2004,61,0.817,0.806,6,-4.606,1,0.0623,0.027,9e-06,0.119,0.805,110.086,"hip hop, pop, R&B"
Kelly Clarkson,Because of You,219493,False,2004,71,0.587,0.583,5,-5.284,0,0.0313,0.248,0.0,0.124,0.15,139.92,"pop, R&B"
Destiny's Child,Cater 2 U,245400,False,2004,58,0.605,0.584,11,-7.043,0,0.197,0.286,0.0,0.235,0.464,125.802,"pop, R&B"
Ryan Cabrera,True,204173,False,2004,62,0.598,0.4,6,-10.054,1,0.0241,0.459,0.0,0.151,0.369,96.938,pop
Eminem,Like Toy Soldiers,296880,True,2004,67,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop
Nelly,Over And Over,253933,True,2004,61,0.644,0.517,7,-10.02,1,0.0803,0.0065,1.37e-06,0.158,0.464,169.799,"hip hop, pop, R&B"
Destiny's Child,Girl,224146,False,2004,55,0.567,0.747,6,-6.019,0,0.105,0.31,0.0,0.04,0.556,89.036,"pop, R&B"
Kelly Clarkson,Since U Been Gone,188960,False,2004,71,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,"pop, R&B"
U2,Sometimes You Can't Make It On Your Own,305080,False,2004,56,0.53,0.597,2,-5.652,1,0.0247,0.00275,0.473,0.105,0.346,96.0,"World/Traditional, rock"
Gwen Stefani,Cool,189333,False,2004,59,0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019,"pop, R&B"
Infernal,From Paris to Berlin,209666,False,2004,57,0.741,0.869,9,-6.534,0,0.0816,0.096,0.0,0.0396,0.839,126.069,pop
Natasha Bedingfield,Unwritten,259333,False,2004,2,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,pop
